fecha_dia,fecha_mes,fecha_año,precipitacion,temp_max,temp_min,vel_viento,tipo
1,1,2012,0.0,12.8,5.0,4.7,2
1,2,2012,10.9,10.6,2.8,4.5,3
1,3,2012,0.8,11.7,7.2,2.3,3
1,4,2012,20.3,12.2,5.6,4.7,3
1,5,2012,1.3,8.9,2.8,6.1,3
1,6,2012,2.5,4.4,2.2,2.2,3
1,7,2012,0.0,7.2,2.8,2.3,3
1,8,2012,0.0,10.0,2.8,2.0,0
1,9,2012,4.3,9.4,5.0,3.4,3
1,10,2012,1.0,6.1,0.6,3.4,3
1,11,2012,0.0,6.1,-1.1,5.1,0
1,12,2012,0.0,6.1,-1.7,1.9,0
13,1,2012,0.0,5.0,-2.8,1.3,0
14,1,2012,4.1,4.4,0.6,5.3,4
15,1,2012,5.3,1.1,-3.3,3.2,4
16,1,2012,2.5,1.7,-2.8,5.0,4
17,1,2012,8.1,3.3,0.0,5.6,4
18,1,2012,19.8,0.0,-2.8,5.0,4
19,1,2012,15.2,-1.1,-2.8,1.6,4
20,1,2012,13.5,7.2,-1.1,2.3,4
21,1,2012,3.0,8.3,3.3,8.2,3
22,1,2012,6.1,6.7,2.2,4.8,3
23,1,2012,0.0,8.3,1.1,3.6,3
24,1,2012,8.6,10.0,2.2,5.1,3
25,1,2012,8.1,8.9,4.4,5.4,3
26,1,2012,4.8,8.9,1.1,4.8,3
27,1,2012,0.0,6.7,-2.2,1.4,2
28,1,2012,0.0,6.7,0.6,2.2,3
29,1,2012,27.7,9.4,3.9,4.5,3
30,1,2012,3.6,8.3,6.1,5.1,3
31,1,2012,1.8,9.4,6.1,3.9,3
2,1,2012,13.5,8.9,3.3,2.7,3
2,2,2012,0.0,8.3,1.7,2.6,0
2,3,2012,0.0,14.4,2.2,5.3,0
2,4,2012,0.0,15.6,5.0,4.3,0
2,5,2012,0.0,13.9,1.7,2.9,0
2,6,2012,0.0,16.1,1.7,5.0,0
2,7,2012,0.3,15.6,7.8,5.3,3
2,8,2012,2.8,10.0,5.0,2.7,3
2,9,2012,2.5,11.1,7.8,2.4,3
2,10,2012,2.5,12.8,6.7,3.0,3
2,11,2012,0.8,8.9,5.6,3.4,3
2,12,2012,1.0,8.3,5.0,1.3,3
13,2,2012,11.4,7.2,4.4,1.4,3
14,2,2012,2.5,6.7,1.1,3.1,3
15,2,2012,0.0,7.2,0.6,1.8,2
16,2,2012,1.8,7.2,3.3,2.1,3
17,2,2012,17.3,10.0,4.4,3.4,3
18,2,2012,6.4,6.7,3.9,8.1,3
19,2,2012,0.0,6.7,2.2,4.7,0
20,2,2012,3.0,7.8,1.7,2.9,3
21,2,2012,0.8,10.0,7.8,7.5,3
22,2,2012,8.6,10.0,2.8,5.9,3
23,2,2012,0.0,8.3,2.8,3.9,0
24,2,2012,11.4,6.7,4.4,3.5,3
25,2,2012,0.0,7.2,2.8,6.4,3
26,2,2012,1.3,5.0,-1.1,3.4,4
27,2,2012,0.0,6.7,-2.2,3.0,0
28,2,2012,3.6,6.7,-0.6,4.2,4
29,2,2012,0.8,5.0,1.1,7.0,4
3,1,2012,0.0,6.1,1.1,3.1,0
3,2,2012,2.0,6.7,3.9,5.1,3
3,3,2012,0.0,12.2,6.7,7.0,0
3,4,2012,0.0,10.6,6.7,5.6,3
3,5,2012,6.9,7.8,1.1,6.2,3
3,6,2012,0.5,6.7,0.0,2.7,4
3,7,2012,0.0,8.9,-1.7,2.7,0
3,8,2012,0.0,15.6,0.6,2.5,0
3,9,2012,3.6,9.4,5.0,2.8,3
3,10,2012,10.4,7.2,6.1,3.4,3
3,11,2012,13.7,6.7,2.8,5.8,3
3,12,2012,19.3,8.3,0.6,6.2,4
13,3,2012,9.4,5.6,0.6,5.3,4
14,3,2012,8.6,7.8,1.1,4.7,3
15,3,2012,23.9,11.1,5.6,5.8,4
16,3,2012,8.4,8.9,3.9,5.1,3
17,3,2012,9.4,10.0,0.6,3.8,4
18,3,2012,3.6,5.0,-0.6,2.7,3
19,3,2012,2.0,7.2,-1.1,3.0,3
20,3,2012,3.6,7.8,2.2,6.4,3
21,3,2012,1.3,8.9,1.1,2.5,3
22,3,2012,4.1,10.0,1.7,2.1,3
23,3,2012,0.0,12.2,0.6,2.8,0
24,3,2012,0.0,15.0,3.3,5.2,0
25,3,2012,0.0,13.3,2.2,2.7,3
26,3,2012,0.0,12.8,6.1,4.3,2
27,3,2012,4.8,14.4,6.7,3.8,3
28,3,2012,1.3,10.6,7.2,5.9,3
29,3,2012,27.4,10.0,6.1,4.4,3
30,3,2012,5.6,9.4,5.0,4.7,3
31,3,2012,13.2,10.0,2.8,3.4,3
4,1,2012,1.5,8.9,4.4,6.8,3
4,2,2012,0.0,16.7,4.4,3.1,0
4,3,2012,1.5,11.7,3.3,3.1,3
4,4,2012,0.0,10.6,2.8,2.1,0
4,5,2012,4.6,9.4,2.8,1.8,4
4,6,2012,0.3,11.1,3.3,2.6,3
4,7,2012,0.0,16.1,1.7,4.3,0
4,8,2012,0.0,21.1,7.2,4.1,0
4,9,2012,0.0,20.0,6.1,2.1,0
4,10,2012,0.0,17.8,8.9,3.2,3
4,11,2012,2.3,11.1,7.2,2.6,3
4,12,2012,0.5,13.9,5.6,2.6,3
13,4,2012,0.0,15.0,3.9,4.0,2
14,4,2012,0.0,15.6,3.3,3.0,0
15,4,2012,0.0,16.1,7.2,2.9,3
16,4,2012,8.1,13.3,6.7,5.8,3
17,4,2012,1.8,10.0,4.4,2.0,3
18,4,2012,1.8,13.3,7.2,3.9,3
19,4,2012,10.9,13.9,5.0,2.6,3
20,4,2012,6.6,13.3,6.7,2.7,3
21,4,2012,0.0,20.0,4.4,2.3,0
22,4,2012,0.0,23.3,8.3,2.6,3
23,4,2012,0.0,21.7,8.9,3.5,0
24,4,2012,4.3,13.9,10.0,2.8,3
25,4,2012,10.7,16.7,8.9,2.6,3
26,4,2012,3.8,13.9,6.7,5.2,3
27,4,2012,0.8,13.3,6.1,4.8,3
28,4,2012,0.0,16.1,8.3,2.5,2
29,4,2012,4.3,15.6,8.9,1.6,3
30,4,2012,4.3,12.8,7.2,8.0,3
5,1,2012,0.5,11.7,6.1,6.4,3
5,2,2012,0.5,13.3,5.6,2.5,3
5,3,2012,18.5,11.1,7.2,3.4,3
5,4,2012,1.8,12.2,6.1,4.6,3
5,5,2012,0.0,13.3,5.0,2.3,0
5,6,2012,0.0,17.8,5.0,2.4,0
5,7,2012,0.0,23.9,6.1,2.2,0
5,8,2012,0.0,18.3,9.4,3.0,0
5,9,2012,0.0,13.3,6.7,3.9,3
5,10,2012,0.0,14.4,3.9,3.0,0
5,11,2012,0.0,18.3,4.4,4.3,0
5,12,2012,0.0,24.4,6.7,3.4,0
13,5,2012,0.0,25.6,9.4,4.2,0
14,5,2012,0.0,26.7,12.8,3.8,0
15,5,2012,0.0,24.4,9.4,4.1,2
16,5,2012,0.0,19.4,9.4,3.5,0
17,5,2012,0.0,17.8,6.7,2.9,3
18,5,2012,0.0,15.6,7.8,3.1,3
19,5,2012,0.0,19.4,7.2,1.5,0
20,5,2012,6.4,14.4,11.7,1.3,3
21,5,2012,14.0,16.7,10.0,4.0,3
22,5,2012,6.1,12.8,8.9,4.8,3
23,5,2012,0.3,14.4,8.9,6.3,3
24,5,2012,0.0,17.2,8.9,3.3,3
25,5,2012,0.0,22.2,8.9,3.1,3
26,5,2012,0.0,22.2,8.9,3.6,0
27,5,2012,0.0,17.2,11.7,3.7,0
28,5,2012,0.0,16.7,10.0,3.4,3
29,5,2012,0.0,16.1,7.8,1.8,0
30,5,2012,0.3,18.9,11.1,1.5,3
31,5,2012,3.8,17.8,12.2,2.7,3
6,1,2012,6.6,20.0,12.8,3.7,3
6,2,2012,0.3,18.9,10.6,3.7,3
6,3,2012,0.0,17.2,9.4,2.9,0
6,4,2012,1.3,12.8,8.9,3.1,3
6,5,2012,16.0,13.3,8.3,3.3,3
6,6,2012,0.0,16.1,6.1,3.4,0
6,7,2012,16.5,16.1,8.9,3.5,3
6,8,2012,1.5,15.0,8.3,3.0,3
6,9,2012,0.0,17.2,8.3,4.7,3
6,10,2012,0.0,18.9,10.0,2.9,0
6,11,2012,0.0,23.3,10.0,1.8,3
6,12,2012,0.8,18.3,12.8,3.9,3
13,6,2012,0.0,16.1,11.1,4.3,0
14,6,2012,0.0,17.2,10.0,2.7,0
15,6,2012,0.0,22.2,9.4,1.7,0
16,6,2012,0.0,21.1,15.0,4.1,3
17,6,2012,0.0,18.9,11.7,6.4,0
18,6,2012,3.0,17.2,10.0,3.8,3
19,6,2012,1.0,19.4,10.0,3.0,3
20,6,2012,0.0,24.4,10.0,3.0,0
21,6,2012,0.0,23.9,11.7,2.1,0
22,6,2012,15.7,13.9,11.7,1.9,3
23,6,2012,8.6,15.6,9.4,2.5,3
24,6,2012,0.0,19.4,9.4,2.0,2
25,6,2012,0.5,19.4,11.1,3.1,3
26,6,2012,0.0,18.3,10.6,3.4,3
27,6,2012,0.0,22.8,8.9,1.8,0
28,6,2012,0.0,22.2,11.7,2.5,3
29,6,2012,0.3,21.7,15.0,1.9,3
30,6,2012,3.0,20.0,13.3,2.4,3
7,1,2012,0.0,20.0,12.2,2.3,3
7,2,2012,2.0,18.9,11.7,2.1,3
7,3,2012,5.8,18.3,10.6,6.0,3
7,4,2012,0.0,20.6,9.4,3.8,0
7,5,2012,0.0,24.4,10.6,3.1,2
7,6,2012,0.0,25.0,11.1,2.1,0
7,7,2012,0.0,26.7,12.8,3.8,0
7,8,2012,0.0,28.3,14.4,2.8,3
7,9,2012,1.5,25.0,12.8,2.0,3
7,10,2012,0.0,23.9,11.1,2.3,2
7,11,2012,0.0,27.8,13.3,2.9,1
7,12,2012,0.0,25.6,13.3,2.7,2
13,7,2012,0.5,23.3,13.9,2.2,3
14,7,2012,0.0,25.0,15.0,2.2,3
15,7,2012,0.0,18.9,13.3,3.8,3
16,7,2012,0.3,26.1,13.3,2.5,3
17,7,2012,0.0,21.7,15.0,2.6,0
18,7,2012,0.0,21.1,14.4,2.9,0
19,7,2012,0.0,25.0,14.4,2.2,0
20,7,2012,15.2,19.4,13.9,4.0,3
21,7,2012,0.0,23.9,13.9,2.3,0
22,7,2012,1.0,20.6,12.2,3.9,3
23,7,2012,0.0,18.9,11.1,3.3,3
24,7,2012,0.0,23.3,12.2,4.3,0
25,7,2012,0.0,26.7,12.8,2.6,0
26,7,2012,0.0,25.6,12.8,2.2,2
27,7,2012,0.0,18.9,13.9,2.8,2
28,7,2012,0.0,22.2,13.3,1.7,2
29,7,2012,0.0,22.8,15.0,2.0,0
30,7,2012,0.0,19.4,13.3,3.0,0
31,7,2012,0.0,22.8,13.9,2.8,0
8,1,2012,0.0,23.9,13.3,2.2,2
8,2,2012,0.0,23.3,12.2,2.5,0
8,3,2012,0.0,27.2,12.8,3.9,0
8,4,2012,0.0,33.9,16.7,3.7,0
8,5,2012,0.0,33.9,17.8,1.9,0
8,6,2012,0.0,28.3,15.6,2.5,3
