fecha_dia,fecha_mes,temp_prom,temp_min,tem_max,viento_dir,viento_vel,presion,precipitacion
1,1,24.8,20.6,34.6,15,14.8,1003.6,0.0
2,1,26.4,16.7,35.0,354,10.6,1004.6,0.0
3,1,29.2,21.0,37.2,75,11.2,1006.7,0.0
4,1,28.1,20.7,37.6,231,15.6,1005.9,0.0
5,1,20.6,10.5,31.1,130,16.1,1015.4,0.0
6,1,21.7,11.5,29.3,88,15.4,1016.5,0.0
7,1,24.3,19.5,30.1,66,15.4,1016.0,0.0
8,1,25.4,22.3,30.1,73,20.2,1015.4,0.0
9,1,26.1,21.5,31.3,61,19.2,1014.4,0.0
10,1,28.7,20.9,36.3,32,11.5,1011.4,0.0
11,1,31.8,21.3,40.0,297,12.4,1008.7,0.0
12,1,26.9,17.9,40.6,102,15.4,1013.7,0.0
13,1,29.6,22.1,38.1,56,15.9,1012.2,0.0
14,1,33.3,24.5,41.2,11,14.3,1008.8,0.0
15,1,34.1,27.1,42.0,8,13.7,1005.9,0.0
16,1,27.1,21.9,40.1,313,12.4,1003.2,23.1
17,1,22.6,19.4,33.9,147,17.3,1008.2,1.0
18,1,22.2,19.4,28.0,122,17.3,1014.8,0.0
19,1,23.3,20.9,27.0,135,18.6,1016.0,0.0
20,1,24.9,21.9,29.8,117,16.1,1013.8,0.0
21,1,25.4,23.2,29.9,113,13.5,1008.7,0.0
22,1,22.7,20.9,30.6,160,13.1,1007.7,4.1
23,1,22.7,19.7,25.5,257,5.4,1010.2,0.0
24,1,25.0,19.4,30.1,239,5.0,1011.0,0.0
25,1,25.4,22.5,31.1,87,7.6,1008.8,0.0
26,1,24.4,16.9,31.1,159,13.0,1010.6,0.0
27,1,17.9,11.4,26.7,146,14.7,1020.5,0.0
28,1,19.5,11.5,25.2,88,8.7,1016.9,0.0
29,1,23.1,15.6,28.6,41,11.6,1013.0,0.0
30,1,25.6,19.5,30.2,3,11.8,1008.6,0.0
31,1,22.7,15.8,31.1,171,13.2,1010.9,0.0
1,2,23.0,16.4,29.1,31,11.1,1011.6,0.0
2,2,27.1,20.2,33.7,46,12.0,1010.1,0.0
3,2,23.5,19.4,34.1,106,12.8,1009.7,8.9
4,2,22.8,17.5,28.7,161,8.1,1007.8,0.0
5,2,19.7,16.1,29.1,234,12.2,1008.7,13.0
6,2,16.9,11.5,22.5,245,16.1,1014.9,0.5
7,2,18.7,13.2,23.5,176,9.8,1018.1,0.0
8,2,19.9,12.0,26.1,109,7.9,1017.4,0.0
9,2,22.4,16.5,28.0,65,13.1,1014.1,0.0
10,2,24.6,19.2,30.3,63,15.0,1009.9,0.0
11,2,22.3,16.5,30.6,152,15.0,1013.3,0.0
12,2,17.1,12.4,28.9,177,13.2,1018.8,0.0
13,2,17.4,6.8,26.3,259,9.9,1014.2,0.0
14,2,23.1,13.7,31.2,296,11.3,1010.9,0.0
15,2,27.3,20.9,33.1,355,12.1,1011.8,0.0
16,2,24.4,21.1,33.6,2,10.8,1011.9,0.0
17,2,21.6,15.5,35.7,144,17.5,1016.5,0.0
18,2,19.8,10.5,27.3,118,10.7,1013.6,0.0
19,2,24.2,18.6,29.8,75,14.5,1008.8,0.0
20,2,20.6,18.4,30.6,163,11.3,1007.7,5.1
21,2,21.3,16.9,26.3,200,10.7,1014.2,0.0
22,2,21.2,16.7,26.7,188,7.8,1017.9,0.0
23,2,21.8,17.1,28.2,109,11.9,1015.4,0.0
24,2,21.8,18.7,28.4,30,16.6,1010.7,4.1
25,2,22.6,13.0,30.7,329,8.3,1014.5,0.0
26,2,23.3,18.9,30.9,41,10.7,1012.1,0.5
27,2,23.0,20.4,28.6,353,12.1,1006.6,43.9
28,2,21.8,16.7,27.7,262,10.1,1010.4,0.0
1,3,19.4,10.9,28.1,13,12.5,1013.2,0.0
2,3,23.6,19.2,29.5,293,14.8,1009.9,0.0
3,3,21.8,14.8,29.6,92,14.5,1012.7,0.0
4,3,23.4,19.5,28.1,40,9.4,1010.3,0.0
5,3,23.8,20.5,28.6,100,10.0,1009.2,0.0
6,3,22.3,15.9,28.9,115,11.9,1008.8,0.0
