fecha,temp_prom,temp_min,tem_max,precipitacion,nieve,viento_dir,viento_vel,presion
1/1/2022,24.8,20.6,34.6,,,15,14.8,1003.6
1/2/2022,26.4,16.7,35,,,354,10.6,1004.6
1/3/2022,29.2,21,37.2,,,75,11.2,1006.7
1/4/2022,28.1,20.7,37.6,,,231,15.6,1005.9
1/5/2022,20.6,10.5,31.1,,,130,16.1,1015.4
1/6/2022,21.7,11.5,29.3,,,88,15.4,1016.5
1/7/2022,24.3,19.5,30.1,,,66,15.4,1016
1/8/2022,25.4,22.3,30.1,,,73,20.2,1015.4
1/9/2022,26.1,21.5,31.3,,,61,19.2,1014.4
1/10/2022,28.7,20.9,36.3,,,32,11.5,1011.4
1/11/2022,31.8,21.3,40,,,297,12.4,1008.7
1/12/2022,26.9,17.9,40.6,,,102,15.4,1013.7
1/13/2022,29.6,22.1,38.1,,,56,15.9,1012.2
1/14/2022,33.3,24.5,41.2,,,11,14.3,1008.8
1/15/2022,34.1,27.1,42,,,8,13.7,1005.9
1/16/2022,27.1,21.9,40.1,23.1,,313,12.4,1003.2
1/17/2022,22.6,19.4,33.9,1,,147,17.3,1008.2
1/18/2022,22.2,19.4,28,0,,122,17.3,1014.8
1/19/2022,23.3,20.9,27,,,135,18.6,1016
1/20/2022,24.9,21.9,29.8,,,117,16.1,1013.8
1/21/2022,25.4,23.2,29.9,,,113,13.5,1008.7
1/22/2022,22.7,20.9,30.6,4.1,,160,13.1,1007.7
1/23/2022,22.7,19.7,25.5,,,257,5.4,1010.2
1/24/2022,25,19.4,30.1,,,239,5,1011
1/25/2022,25.4,22.5,31.1,,,87,7.6,1008.8
1/26/2022,24.4,16.9,31.1,,,159,13,1010.6
1/27/2022,17.9,11.4,26.7,,,146,14.7,1020.5
1/28/2022,19.5,11.5,25.2,,,88,8.7,1016.9
1/29/2022,23.1,15.6,28.6,,,41,11.6,1013
1/30/2022,25.6,19.5,30.2,,,3,11.8,1008.6
1/31/2022,22.7,15.8,31.1,,,171,13.2,1010.9
2/1/2022,23,16.4,29.1,,,31,11.1,1011.6
2/2/2022,27.1,20.2,33.7,,,46,12,1010.1
2/3/2022,23.5,19.4,34.1,8.9,,106,12.8,1009.7
2/4/2022,22.8,17.5,28.7,,,161,8.1,1007.8
2/5/2022,19.7,16.1,29.1,13,,234,12.2,1008.7
2/6/2022,16.9,11.5,22.5,0.5,,245,16.1,1014.9
2/7/2022,18.7,13.2,23.5,,,176,9.8,1018.1
2/8/2022,19.9,12,26.1,,,109,7.9,1017.4
2/9/2022,22.4,16.5,28,,,65,13.1,1014.1
2/10/2022,24.6,19.2,30.3,,,63,15,1009.9
2/11/2022,22.3,16.5,30.6,,,152,15,1013.3
2/12/2022,17.1,12.4,28.9,0,,177,13.2,1018.8
2/13/2022,17.4,6.8,26.3,,,259,9.9,1014.2
2/14/2022,23.1,13.7,31.2,,,296,11.3,1010.9
2/15/2022,27.3,20.9,33.1,,,355,12.1,1011.8
