datetime_dia,datetime_mes,datetime_año,gold_price_usd
29,12,1978,137.06
1,1,1979,137.06
2,1,1979,137.29
3,1,1979,134.01
4,1,1979,136.79
5,1,1979,138.35
8,1,1979,136.38
9,1,1979,137.29
10,1,1979,135.48
11,1,1979,135.94
12,1,1979,134.08
15,1,1979,133.83
16,1,1979,135.62
17,1,1979,139.22
18,1,1979,141.66
19,1,1979,141.14
22,1,1979,144.0
23,1,1979,141.14
24,1,1979,144.69
25,1,1979,143.98
26,1,1979,144.64
29,1,1979,145.25
30,1,1979,144.09
31,1,1979,144.84
1,2,1979,142.85
2,2,1979,143.48
5,2,1979,150.26
6,2,1979,150.8
7,2,1979,153.67
8,2,1979,153.49
9,2,1979,151.3
12,2,1979,150.01
13,2,1979,148.1
14,2,1979,148.25
15,2,1979,152.37
16,2,1979,152.19
19,2,1979,152.84
20,2,1979,152.24
21,2,1979,154.63
22,2,1979,155.4
23,2,1979,154.44
26,2,1979,152.73
27,2,1979,152.46
28,2,1979,154.64
1,3,1979,153.27
2,3,1979,152.83
5,3,1979,147.01
6,3,1979,147.91
7,3,1979,149.08
8,3,1979,147.09
9,3,1979,148.43
12,3,1979,148.01
13,3,1979,147.76
14,3,1979,147.76
15,3,1979,148.22
16,3,1979,150.77
19,3,1979,149.66
20,3,1979,149.41
21,3,1979,148.28
22,3,1979,149.85
23,3,1979,149.7
26,3,1979,150.98
27,3,1979,150.72
28,3,1979,150.69
29,3,1979,149.12
30,3,1979,148.04
2,4,1979,148.52
3,4,1979,148.77
4,4,1979,148.51
5,4,1979,149.14
6,4,1979,148.52
9,4,1979,149.87
10,4,1979,149.27
11,4,1979,148.25
12,4,1979,145.91
13,4,1979,145.88
16,4,1979,145.88
17,4,1979,144.82
18,4,1979,145.35
19,4,1979,149.87
20,4,1979,147.67
23,4,1979,147.78
24,4,1979,149.25
25,4,1979,150.41
26,4,1979,150.7
27,4,1979,151.15
30,4,1979,152.76
1,5,1979,152.8
2,5,1979,153.16
3,5,1979,153.28
4,5,1979,154.48
7,5,1979,154.48
8,5,1979,154.76
9,5,1979,154.12
10,5,1979,157.08
11,5,1979,156.73
14,5,1979,156.42
15,5,1979,159.57
16,5,1979,160.1
17,5,1979,160.68
18,5,1979,161.08
21,5,1979,164.85
22,5,1979,166.79
23,5,1979,165.89
24,5,1979,165.43
25,5,1979,170.0
28,5,1979,169.99
29,5,1979,172.21
30,5,1979,169.65
31,5,1979,172.0
1,6,1979,172.68
4,6,1979,171.04
5,6,1979,172.29
6,6,1979,175.7
7,6,1979,173.15
8,6,1979,175.45
11,6,1979,176.98
12,6,1979,173.99
13,6,1979,173.07
14,6,1979,174.47
15,6,1979,174.13
18,6,1979,172.81
19,6,1979,172.97
20,6,1979,173.13
21,6,1979,173.45
22,6,1979,173.68
25,6,1979,172.89
26,6,1979,172.23
27,6,1979,172.09
28,6,1979,168.39
29,6,1979,169.03
2,7,1979,172.26
3,7,1979,171.44
4,7,1979,172.12
5,7,1979,174.68
6,7,1979,176.45
9,7,1979,175.53
10,7,1979,176.61
11,7,1979,175.8
12,7,1979,176.13
13,7,1979,174.13
16,7,1979,176.89
17,7,1979,178.16
18,7,1979,181.13
19,7,1979,179.47
20,7,1979,180.51
23,7,1979,183.26
24,7,1979,183.27
25,7,1979,182.68
26,7,1979,183.91
27,7,1979,184.56
30,7,1979,182.35
31,7,1979,179.68
1,8,1979,175.64
2,8,1979,176.3
3,8,1979,173.57
6,8,1979,171.07
7,8,1979,172.69
8,8,1979,174.96
9,8,1979,179.36
10,8,1979,183.46
13,8,1979,180.6
14,8,1979,176.8
15,8,1979,182.82
16,8,1979,180.26
17,8,1979,181.98
20,8,1979,180.89
21,8,1979,181.99
22,8,1979,188.18
23,8,1979,187.54
24,8,1979,190.31
27,8,1979,190.31
28,8,1979,191.73
29,8,1979,190.67
30,8,1979,193.34
31,8,1979,190.38
3,9,1979,195.21
4,9,1979,196.34
5,9,1979,198.56
6,9,1979,201.76
7,9,1979,197.74
10,9,1979,201.8
11,9,1979,204.14
12,9,1979,202.6
13,9,1979,200.52
14,9,1979,208.27
17,9,1979,211.64
18,9,1979,226.0
19,9,1979,221.68
20,9,1979,225.5
21,9,1979,218.73
24,9,1979,225.76
25,9,1979,223.65
26,9,1979,221.44
27,9,1979,232.67
28,9,1979,233.23
1,10,1979,243.27
2,10,1979,251.66
3,10,1979,237.98
4,10,1979,227.75
5,10,1979,228.52
8,10,1979,224.06
9,10,1979,233.04
10,10,1979,247.46
11,10,1979,241.06
12,10,1979,237.4
15,10,1979,242.74
16,10,1979,237.97
17,10,1979,233.32
18,10,1979,229.4
19,10,1979,236.93
22,10,1979,236.85
23,10,1979,233.43
24,10,1979,238.99
25,10,1979,236.8
26,10,1979,227.05
29,10,1979,227.05
30,10,1979,229.12
31,10,1979,231.45
1,11,1979,229.08
2,11,1979,224.9
5,11,1979,229.5
6,11,1979,232.42
7,11,1979,237.68
8,11,1979,235.34
9,11,1979,235.21
12,11,1979,237.98
13,11,1979,234.05
14,11,1979,234.56
15,11,1979,232.2
16,11,1979,234.16
19,11,1979,232.51
20,11,1979,231.48
21,11,1979,235.64
22,11,1979,234.26
23,11,1979,233.75
26,11,1979,234.97
27,11,1979,233.94
28,11,1979,244.13
29,11,1979,243.78
30,11,1979,244.87
3,12,1979,250.15
4,12,1979,253.44
5,12,1979,252.6
6,12,1979,256.43
7,12,1979,255.91
10,12,1979,256.1
11,12,1979,262.89
12,12,1979,263.0
13,12,1979,270.17
14,12,1979,269.8
17,12,1979,276.99
18,12,1979,281.22
19,12,1979,287.18
20,12,1979,277.57
21,12,1979,278.61
24,12,1979,277.44
25,12,1979,277.44
26,12,1979,277.44
27,12,1979,275.92
28,12,1979,299.02
31,12,1979,299.12
1,1,1980,299.12
2,1,1980,325.32
3,1,1980,368.66
4,1,1980,342.56
7,1,1980,368.22
8,1,1980,355.16
9,1,1980,353.19
10,1,1980,351.34
11,1,1980,363.71
14,1,1980,385.03
15,1,1980,400.37
16,1,1980,444.09
17,1,1980,438.5
18,1,1980,487.96
21,1,1980,497.88
22,1,1980,433.05
23,1,1980,407.36
24,1,1980,420.84
25,1,1980,392.36
28,1,1980,367.71
29,1,1980,397.03
30,1,1980,406.28
31,1,1980,385.01
1,2,1980,398.89
4,2,1980,394.51
5,2,1980,401.55
6,2,1980,416.0
7,2,1980,411.02
8,2,1980,407.18
11,2,1980,416.94
12,2,1980,408.16
13,2,1980,408.22
14,2,1980,399.78
15,2,1980,391.86
18,2,1980,388.97
19,2,1980,385.06
20,2,1980,357.55
21,2,1980,392.31
22,2,1980,373.37
25,2,1980,366.23
26,2,1980,381.78
27,2,1980,377.81
28,2,1980,383.84
29,2,1980,381.48
3,3,1980,380.82
4,3,1980,380.24
5,3,1980,387.82
6,3,1980,378.59
7,3,1980,368.65
10,3,1980,355.97
11,3,1980,347.63
12,3,1980,356.17
13,3,1980,340.69
14,3,1980,322.58
17,3,1980,304.93
18,3,1980,303.63
19,3,1980,331.56
20,3,1980,351.56
21,3,1980,331.04
24,3,1980,353.79
25,3,1980,347.96
26,3,1980,322.01
27,3,1980,311.55
28,3,1980,315.84
31,3,1980,321.56
1,4,1980,335.24
2,4,1980,326.94
3,4,1980,317.99
4,4,1980,317.99
7,4,1980,317.99
8,4,1980,343.68
9,4,1980,352.08
10,4,1980,333.39
11,4,1980,335.36
14,4,1980,333.99
15,4,1980,317.79
16,4,1980,327.56
17,4,1980,321.65
18,4,1980,323.45
21,4,1980,316.63
22,4,1980,315.55
23,4,1980,313.01
24,4,1980,317.75
25,4,1980,338.96
28,4,1980,320.27
29,4,1980,314.16
30,4,1980,317.27
1,5,1980,300.13
2,5,1980,316.66
5,5,1980,316.66
6,5,1980,312.37
7,5,1980,310.19
8,5,1980,314.84
9,5,1980,312.68
12,5,1980,313.4
13,5,1980,312.51
14,5,1980,320.07
15,5,1980,314.89
16,5,1980,315.56
19,5,1980,314.62
20,5,1980,311.06
21,5,1980,312.21
22,5,1980,304.37
23,5,1980,309.12
26,5,1980,309.12
27,5,1980,308.53
28,5,1980,316.67
29,5,1980,313.15
30,5,1980,323.09
2,6,1980,339.08
3,6,1980,333.84
4,6,1980,344.39
5,6,1980,350.63
6,6,1980,358.18
9,6,1980,373.88
10,6,1980,362.21
11,6,1980,358.14
12,6,1980,354.38
13,6,1980,364.02
16,6,1980,357.36
17,6,1980,356.3
18,6,1980,362.21
19,6,1980,360.39
20,6,1980,362.79
23,6,1980,358.53
24,6,1980,363.04
25,6,1980,374.57
26,6,1980,375.73
27,6,1980,383.61
30,6,1980,392.72
1,7,1980,396.81
2,7,1980,397.86
3,7,1980,398.78
4,7,1980,399.04
7,7,1980,397.46
8,7,1980,408.84
9,7,1980,399.38
10,7,1980,390.55
11,7,1980,397.05
14,7,1980,387.23
15,7,1980,370.26
16,7,1980,372.87
17,7,1980,372.97
18,7,1980,362.02
21,7,1980,368.06
22,7,1980,364.44
23,7,1980,375.55
24,7,1980,381.77
25,7,1980,387.39
28,7,1980,383.11
29,7,1980,387.63
30,7,1980,380.12
31,7,1980,372.37
1,8,1980,379.26
4,8,1980,383.0
5,8,1980,381.27
6,8,1980,378.31
7,8,1980,381.67
8,8,1980,382.11
11,8,1980,374.78
12,8,1980,367.18
13,8,1980,373.5
14,8,1980,381.24
15,8,1980,380.01
18,8,1980,374.39
19,8,1980,382.52
20,8,1980,388.59
21,8,1980,395.41
22,8,1980,393.69
25,8,1980,393.69
26,8,1980,386.84
27,8,1980,389.48
28,8,1980,388.38
29,8,1980,386.52
1,9,1980,384.19
2,9,1980,389.68
3,9,1980,387.28
4,9,1980,393.64
5,9,1980,396.91
8,9,1980,409.01
9,9,1980,408.45
10,9,1980,418.0
11,9,1980,410.18
12,9,1980,417.83
15,9,1980,406.83
16,9,1980,408.09
17,9,1980,410.48
18,9,1980,411.78
19,9,1980,414.08
22,9,1980,437.7
23,9,1980,439.62
24,9,1980,436.05
25,9,1980,429.08
26,9,1980,431.24
29,9,1980,420.63
30,9,1980,412.83
1,10,1980,421.52
2,10,1980,412.11
3,10,1980,408.97
6,10,1980,415.79
7,10,1980,418.72
8,10,1980,417.58
9,10,1980,425.97
10,10,1980,422.79
13,10,1980,420.03
14,10,1980,414.51
15,10,1980,422.02
16,10,1980,420.06
17,10,1980,420.34
20,10,1980,415.45
21,10,1980,412.84
22,10,1980,417.88
23,10,1980,401.19
24,10,1980,401.01
27,10,1980,406.42
28,10,1980,405.23
29,10,1980,411.75
30,10,1980,412.66
31,10,1980,404.91
3,11,1980,414.58
4,11,1980,418.09
5,11,1980,427.16
6,11,1980,414.49
7,11,1980,392.9
10,11,1980,395.29
11,11,1980,385.18
12,11,1980,400.05
13,11,1980,400.33
14,11,1980,396.48
17,11,1980,401.25
18,11,1980,403.91
19,11,1980,408.59
20,11,1980,410.68
21,11,1980,415.47
24,11,1980,412.75
25,11,1980,402.53
26,11,1980,407.86
27,11,1980,407.95
28,11,1980,406.73
1,12,1980,419.19
2,12,1980,414.59
3,12,1980,414.01
4,12,1980,417.49
5,12,1980,410.93
8,12,1980,411.18
