[[2025-10-11 01:49:00]] Starting training on model: model_[33, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 01:49:00]] Epoch 1/300, Validation Loss: 0.0437
[[2025-10-11 01:49:00]] Epoch 2/300, Validation Loss: 0.0434
[[2025-10-11 01:49:00]] Epoch 3/300, Validation Loss: 0.0441
[[2025-10-11 01:49:00]] Epoch 4/300, Validation Loss: 0.0435
[[2025-10-11 01:49:00]] Epoch 5/300, Validation Loss: 0.0435
[[2025-10-11 01:49:00]] Epoch 6/300, Validation Loss: 0.0434
[[2025-10-11 01:49:00]] Epoch 7/300, Validation Loss: 0.0435
[[2025-10-11 01:49:00]] Epoch 8/300, Validation Loss: 0.0434
[[2025-10-11 01:49:00]] Epoch 9/300, Validation Loss: 0.0435
[[2025-10-11 01:49:01]] Epoch 10/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 11/300, Validation Loss: 0.0444
[[2025-10-11 01:49:01]] Epoch 12/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 13/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 14/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 15/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 16/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 17/300, Validation Loss: 0.0435
[[2025-10-11 01:49:01]] Epoch 18/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 19/300, Validation Loss: 0.0438
[[2025-10-11 01:49:01]] Epoch 20/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 21/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 22/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 23/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 24/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 25/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 26/300, Validation Loss: 0.0434
[[2025-10-11 01:49:01]] Epoch 27/300, Validation Loss: 0.0434
[[2025-10-11 01:49:02]] Epoch 28/300, Validation Loss: 0.0434
[[2025-10-11 01:49:02]] Epoch 29/300, Validation Loss: 0.0434
[[2025-10-11 01:49:02]] Epoch 30/300, Validation Loss: 0.0435
[[2025-10-11 01:49:02]] Epoch 31/300, Validation Loss: 0.0434
[[2025-10-11 01:49:02]] Epoch 32/300, Validation Loss: 0.0434
[[2025-10-11 01:49:02]] Epoch 33/300, Validation Loss: 0.0436
[[2025-10-11 01:49:02]] Epoch 34/300, Validation Loss: 0.0434
[[2025-10-11 01:49:02]] Epoch 35/300, Validation Loss: 0.0434
[[2025-10-11 01:49:02]] Epoch 36/300, Validation Loss: 0.0434
